coverage	n
1	2
2	0
3	0
4	1
5	1
6	3
7	1
8	3
9	3
10	1
11	2
12	3
13	1
14	2
15	0
16	0
17	0
18	0
19	0
20	1
21	0
22	1
23	0
24	2
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	0
35	1
36	0
37	0
38	0
39	1
40	0
41	0
42	1
43	0
44	0
45	1
46	0
47	1
48	0
49	0
50	1
51	0
52	0
53	0
54	0
55	1
56	0
57	0
58	0
59	0
60	1
61	0
62	0
63	0
64	0
65	2
66	0
67	0
68	0
69	0
70	1
71	0
72	0
73	1
74	0
75	0
76	1
77	0
78	0
79	0
80	0
81	1
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	1
336	0
337	1
338	1
339	1
340	1
341	2
342	0
343	2
344	2
345	3
346	1
347	2
348	0
349	1
350	1
351	1
352	5
353	3
354	4
355	0
356	2
357	4
358	3
359	4
360	3
361	8
362	2
363	1
364	4
365	4
366	1
367	6
368	1
369	1
370	3
371	1
372	1
373	3
374	2
375	0
376	1
377	0
378	1
379	2
380	4
381	0
382	1
383	0
384	0
385	2
386	2
387	1
388	0
389	1
390	2
391	2
392	0
393	1
394	2
395	4
396	0
397	0
398	1
399	3
400	6
401	4
402	5
403	4
404	2
405	4
406	3
407	4
408	6
409	5
410	5
411	3
412	6
413	4
414	3
415	5
416	6
417	2
418	2
419	7
420	4
421	7
422	3
423	4
424	4
425	7
426	4
427	7
428	9
429	6
430	3
431	7
432	5
433	7
434	2
435	9
436	6
437	9
438	4
439	8
440	8
441	9
442	3
443	3
444	3
445	5
446	5
447	7
448	5
449	5
450	12
451	13
452	11
453	11
454	17
455	14
456	7
457	11
458	8
459	14
460	10
461	10
462	3
463	16
464	16
465	14
466	15
467	14
468	18
469	17
470	13
471	29
472	21
473	11
474	16
475	18
476	13
477	13
478	22
479	16
480	12
481	26
482	20
483	25
484	21
485	29
486	26
487	27
488	20
489	21
490	15
491	31
492	18
493	26
494	25
495	22
496	26
497	23
498	20
499	23
500	18
501	16
502	19
503	31
504	26
505	28
506	22
507	23
508	17
509	28
510	22
511	22
512	21
513	22
514	30
515	29
516	24
517	26
518	32
519	23
520	18
521	20
522	27
523	16
524	26
525	17
526	21
527	25
528	30
529	21
530	21
531	25
532	32
533	26
534	28
535	26
536	19
537	26
538	22
539	20
540	27
541	16
542	25
543	27
544	14
545	23
546	41
547	21
548	25
549	23
550	25
551	23
552	21
553	33
554	35
555	34
556	33
557	21
558	33
559	36
560	37
561	18
562	34
563	46
564	33
565	46
566	31
567	41
568	28
569	32
570	28
571	37
572	40
573	38
574	48
575	44
576	39
577	48
578	40
579	63
580	47
581	37
582	39
583	44
584	65
585	59
586	63
587	60
588	55
589	61
590	42
591	54
592	46
593	45
594	46
595	46
596	48
597	53
598	52
599	45
600	52
601	60
602	70
603	67
604	73
605	48
606	70
607	73
608	69
609	63
610	72
611	84
612	64
613	81
614	63
615	57
616	63
617	70
618	69
619	57
620	67
621	62
622	71
623	65
624	69
625	65
626	90
627	74
628	85
629	73
630	83
631	77
632	87
633	77
634	97
635	96
636	101
637	95
638	94
639	72
640	83
641	90
642	95
643	94
644	91
645	83
646	89
647	106
648	89
649	88
650	83
651	91
652	92
653	109
654	86
655	90
656	103
657	82
658	104
659	97
660	87
661	116
662	95
663	91
664	97
665	111
666	129
667	115
668	130
669	115
670	122
671	117
672	123
673	113
674	119
675	123
676	125
677	115
678	131
679	135
680	113
681	122
682	114
683	134
684	134
685	141
686	135
687	125
688	165
689	123
690	141
691	119
692	115
693	118
694	130
695	122
696	140
697	147
698	133
699	137
700	128
701	158
702	134
703	177
704	138
705	133
706	161
707	151
708	142
709	163
710	174
711	169
712	161
713	176
714	154
715	168
716	160
717	174
718	199
719	164
720	183
721	184
722	179
723	170
724	162
725	163
726	159
727	213
728	174
729	176
730	169
731	178
732	145
733	165
734	164
735	177
736	186
737	205
738	173
739	167
740	197
741	188
742	185
743	187
744	182
745	198
746	181
747	188
748	177
749	167
750	165
751	194
752	189
753	168
754	190
755	192
756	173
757	180
758	169
759	189
760	196
761	166
762	176
763	202
764	173
765	200
766	161
767	192
768	175
769	182
770	143
771	200
772	184
773	194
774	198
775	163
776	185
777	162
778	179
779	194
780	165
781	195
782	177
783	172
784	174
785	175
786	184
787	189
788	197
789	162
790	182
791	210
792	197
793	179
794	177
795	211
796	196
797	180
798	181
799	210
800	186
801	184
802	194
803	201
804	205
805	178
806	188
807	196
808	186
809	154
810	151
811	165
812	152
813	189
814	171
815	172
816	188
817	181
818	225
819	213
820	181
821	220
822	177
823	174
824	211
825	185
826	171
827	188
828	208
829	228
830	182
831	202
832	192
833	191
834	210
835	194
836	176
837	170
838	176
839	168
840	171
841	197
842	179
843	198
844	181
845	167
846	204
847	177
848	188
849	177
850	215
851	194
852	190
853	211
854	188
855	198
856	191
857	196
858	193
859	196
860	227
861	210
862	209
863	209
864	192
865	222
866	252
867	196
868	201
869	213
870	199
871	185
872	205
873	168
874	217
875	187
876	205
877	202
878	190
879	192
880	229
881	213
882	203
883	223
884	232
885	223
886	217
887	186
888	213
889	235
890	204
891	208
892	231
893	197
894	210
895	187
896	217
897	201
898	212
899	218
900	215
901	245
902	206
903	213
904	205
905	234
906	216
907	219
908	194
909	194
910	215
911	207
912	199
913	215
914	194
915	227
916	212
917	239
918	241
919	203
920	247
921	232
922	227
923	204
924	212
925	226
926	183
927	216
928	215
929	239
930	216
931	220
932	211
933	226
934	213
935	230
936	244
937	247
938	260
939	213
940	249
941	237
942	234
943	217
944	216
945	226
946	228
947	195
948	230
949	212
950	222
951	229
952	248
953	255
954	259
955	244
956	242
957	231
958	228
959	227
960	226
961	202
962	227
963	232
964	198
965	250
966	230
967	216
968	262
969	242
970	236
971	220
972	229
973	243
974	222
975	215
976	231
977	230
978	232
979	206
980	224
981	223
982	196
983	235
984	232
985	217
986	250
987	214
988	219
989	226
990	200
991	234
992	203
993	200
994	222
995	204
996	206
997	217
998	221
999	228
1000	194
1001	231
1002	220
1003	240
1004	228
1005	219
1006	203
1007	219
1008	203
1009	225
1010	218
1011	234
1012	260
1013	260
1014	233
1015	245
1016	220
1017	224
1018	235
1019	223
1020	215
1021	228
1022	218
1023	224
1024	227
1025	231
1026	208
1027	232
1028	229
1029	238
1030	231
1031	213
1032	226
1033	223
1034	237
1035	242
1036	212
1037	215
1038	205
1039	208
1040	211
1041	206
1042	196
1043	196
1044	193
1045	189
1046	215
1047	192
1048	221
1049	206
1050	211
1051	228
1052	206
1053	199
1054	190
1055	188
1056	206
1057	209
1058	206
1059	201
1060	210
1061	193
1062	234
1063	206
1064	220
1065	211
1066	219
1067	221
1068	194
1069	177
1070	199
1071	185
1072	198
1073	190
1074	221
1075	212
1076	234
1077	213
1078	183
1079	207
1080	200
1081	200
1082	215
1083	199
1084	176
1085	217
1086	189
1087	212
1088	243
1089	202
1090	202
1091	230
1092	215
1093	212
1094	205
1095	198
1096	210
1097	199
1098	213
1099	174
1100	185
1101	201
1102	194
1103	186
1104	210
1105	230
1106	193
1107	201
1108	222
1109	191
1110	200
1111	221
1112	224
1113	186
1114	200
1115	159
1116	224
1117	211
1118	208
1119	193
1120	197
1121	199
1122	190
1123	201
1124	209
1125	198
1126	232
1127	209
1128	215
1129	201
1130	207
1131	213
1132	197
1133	196
1134	185
1135	185
1136	176
1137	198
1138	186
1139	187
1140	194
1141	200
1142	191
1143	192
1144	233
1145	197
1146	165
1147	203
1148	185
1149	175
1150	204
1151	174
1152	200
1153	197
1154	187
1155	188
1156	191
1157	202
1158	203
1159	206
1160	170
1161	178
1162	172
1163	189
1164	179
1165	188
1166	165
1167	204
1168	197
1169	174
1170	166
1171	241
1172	205
1173	212
1174	217
1175	201
1176	178
1177	197
1178	198
1179	202
1180	208
1181	188
1182	180
1183	181
1184	190
1185	171
1186	200
1187	187
1188	200
1189	163
1190	146
1191	163
1192	156
1193	175
1194	161
1195	192
1196	150
1197	165
1198	163
1199	156
1200	152
1201	169
1202	174
1203	150
1204	155
1205	182
1206	166
1207	178
1208	149
1209	168
1210	172
1211	174
1212	190
1213	175
1214	163
1215	150
1216	166
1217	167
1218	200
