coverage	n
1	2
2	0
3	6
4	2
5	1
6	1
7	5
8	1
9	1
10	1
11	1
12	1
13	0
14	0
15	0
16	1
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	2
25	1
26	0
27	1
28	0
29	1
30	0
31	0
32	1
33	0
34	0
35	0
36	0
37	0
38	0
39	1
40	0
41	0
42	0
43	1
44	0
45	0
46	1
47	0
48	0
49	0
50	1
51	0
52	0
53	0
54	0
55	1
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	1
64	0
65	1
66	0
67	0
68	0
69	1
70	0
71	0
72	0
73	1
74	0
75	0
76	0
77	1
78	1
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	1
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	1
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	1
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	2
391	0
392	0
393	2
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	1
406	0
407	0
408	0
409	0
410	2
411	1
412	2
413	1
414	2
415	3
416	0
417	0
418	1
419	0
420	1
421	2
422	0
423	0
424	0
425	0
426	1
427	2
428	5
429	4
430	5
431	5
432	1
433	3
434	7
435	6
436	4
437	2
438	6
439	6
440	4
441	4
442	4
443	2
444	9
445	3
446	4
447	5
448	8
449	5
450	12
451	4
452	3
453	8
454	5
455	6
456	3
457	4
458	5
459	2
460	5
461	6
462	6
463	11
464	11
465	9
466	5
467	4
468	3
469	5
470	12
471	4
472	4
473	9
474	7
475	7
476	4
477	5
478	8
479	6
480	13
481	4
482	12
483	7
484	14
485	13
486	11
487	12
488	10
489	8
490	7
491	8
492	9
493	6
494	10
495	16
496	10
497	14
498	17
499	15
500	10
501	11
502	13
503	10
504	13
505	15
506	12
507	14
508	17
509	20
510	17
511	13
512	15
513	10
514	13
515	10
516	18
517	8
518	18
519	13
520	15
521	11
522	7
523	9
524	26
525	21
526	8
527	10
528	12
529	12
530	12
531	9
532	9
533	5
534	20
535	15
536	18
537	13
538	17
539	13
540	9
541	20
542	17
543	10
544	19
545	16
546	21
547	16
548	28
549	14
550	17
551	18
552	18
553	9
554	18
555	20
556	18
557	22
558	19
559	15
560	27
561	28
562	27
563	21
564	25
565	26
566	24
567	26
568	24
569	25
570	19
571	29
572	23
573	18
574	19
575	21
576	16
577	30
578	14
579	26
580	18
581	18
582	24
583	19
584	18
585	16
586	29
587	30
588	33
589	28
590	29
591	33
592	27
593	22
594	22
595	26
596	24
597	28
598	26
599	23
600	24
601	31
602	30
603	37
604	30
605	37
606	17
607	21
608	27
609	26
610	38
611	25
612	15
613	30
614	31
615	33
616	23
617	33
618	29
619	39
620	24
621	34
622	19
623	27
624	19
625	24
626	26
627	32
628	42
629	31
630	35
631	48
632	38
633	38
634	42
635	47
636	57
637	41
638	51
639	44
640	58
641	50
642	49
643	47
644	40
645	41
646	64
647	54
648	63
649	53
650	47
651	48
652	45
653	53
654	63
655	49
656	46
657	51
658	49
659	44
660	61
661	51
662	41
663	56
664	61
665	46
666	62
667	51
668	34
669	55
670	37
671	56
672	52
673	45
674	46
675	58
676	60
677	43
678	51
679	47
680	54
681	49
682	59
683	57
684	66
685	73
686	59
687	69
688	62
689	72
690	71
691	76
692	74
693	91
694	86
695	71
696	77
697	83
698	81
699	86
700	91
701	86
702	92
703	79
704	86
705	92
706	87
707	75
708	99
709	120
710	100
711	108
712	111
713	118
714	136
715	93
716	102
717	100
718	103
719	99
720	93
721	135
722	121
723	138
724	126
725	107
726	147
727	108
728	117
729	122
730	132
731	135
732	112
733	114
734	133
735	116
736	131
737	120
738	158
739	154
740	140
741	138
742	129
743	158
744	132
745	136
746	135
747	156
748	137
749	121
750	151
751	163
752	142
753	138
754	151
755	179
756	146
757	150
758	139
759	172
760	154
761	134
762	132
763	142
764	140
765	126
766	122
767	149
768	154
769	132
770	135
771	130
772	144
773	154
774	136
775	155
776	159
777	159
778	146
779	129
780	149
781	142
782	164
783	125
784	144
785	150
786	145
787	149
788	165
789	157
790	150
791	173
792	149
793	163
794	172
795	145
796	189
797	186
798	183
799	169
800	175
801	158
802	177
803	187
804	202
805	147
806	139
807	175
808	155
809	172
810	161
811	156
812	172
813	162
814	149
815	146
816	163
817	171
818	171
819	170
820	188
821	183
822	151
823	156
824	175
825	171
826	140
827	170
828	167
829	171
830	172
831	177
832	206
833	215
834	188
835	170
836	180
837	185
838	199
839	197
840	164
841	203
842	198
843	194
844	178
845	194
846	190
847	190
848	207
849	193
850	182
851	209
852	234
853	164
854	178
855	199
856	204
857	179
858	176
859	204
860	187
861	181
862	177
863	207
864	194
865	190
866	205
867	181
868	191
869	206
870	200
871	191
872	204
873	186
874	208
875	192
876	207
877	218
878	205
879	190
880	188
881	194
882	203
883	211
884	222
885	224
886	208
887	188
888	215
889	228
890	201
891	190
892	229
893	197
894	212
895	223
896	190
897	178
898	214
899	180
900	194
901	181
902	198
903	205
904	223
905	210
906	170
907	211
908	204
909	204
910	199
911	197
912	201
913	196
914	197
915	195
916	219
917	204
918	198
919	209
920	222
921	209
922	203
923	250
924	210
925	187
926	192
927	210
928	207
929	230
930	217
931	215
932	237
933	229
934	215
935	236
936	228
937	243
938	218
939	187
940	224
941	232
942	199
943	217
944	232
945	221
946	221
947	243
948	233
949	250
950	202
951	208
952	210
953	215
954	212
955	223
956	202
957	192
958	197
959	211
960	205
961	185
962	201
963	217
964	210
965	207
966	216
967	237
968	221
969	203
970	215
971	248
972	210
973	233
974	211
975	208
976	217
977	210
978	218
979	206
980	218
981	194
982	225
983	228
984	243
985	222
986	224
987	206
988	243
989	205
990	236
991	230
992	249
993	235
994	261
995	210
996	224
997	178
998	227
999	222
1000	220
1001	220
1002	207
1003	216
1004	240
1005	222
1006	254
1007	223
1008	197
1009	243
1010	196
1011	190
1012	210
1013	228
1014	218
1015	236
1016	239
1017	230
1018	208
1019	228
1020	209
1021	220
1022	237
1023	231
1024	238
1025	237
1026	223
1027	250
1028	234
1029	216
1030	225
1031	261
1032	263
1033	265
1034	232
1035	264
1036	245
1037	236
1038	232
1039	232
1040	231
1041	231
1042	212
1043	198
1044	221
1045	214
1046	209
1047	217
1048	210
1049	215
1050	201
1051	204
1052	216
1053	204
1054	189
1055	225
1056	221
1057	216
1058	211
1059	204
1060	231
1061	233
1062	221
1063	207
1064	219
1065	237
1066	247
1067	217
1068	229
1069	226
1070	250
1071	253
1072	243
1073	205
1074	224
1075	223
1076	233
1077	252
1078	230
1079	241
1080	230
1081	240
1082	224
1083	240
1084	234
1085	223
1086	200
1087	207
1088	200
1089	217
1090	232
1091	216
1092	204
1093	236
1094	238
1095	215
1096	210
1097	186
1098	191
1099	227
1100	223
1101	211
1102	206
1103	210
1104	222
1105	223
1106	223
1107	228
1108	202
1109	243
1110	219
1111	225
1112	216
1113	245
1114	227
1115	238
1116	224
1117	202
1118	236
1119	208
1120	229
1121	212
1122	237
1123	245
1124	227
1125	208
1126	210
1127	234
1128	223
1129	235
1130	206
1131	200
1132	227
1133	231
1134	233
1135	257
1136	207
1137	246
1138	244
1139	252
1140	235
1141	222
1142	225
1143	211
1144	229
1145	213
1146	229
1147	231
1148	230
1149	230
1150	233
1151	213
1152	234
1153	236
1154	266
1155	203
1156	240
1157	204
1158	237
1159	228
1160	220
1161	219
1162	222
1163	210
1164	203
1165	233
1166	220
1167	204
1168	208
1169	230
1170	223
1171	225
1172	206
1173	244
1174	199
1175	179
1176	175
1177	174
1178	194
1179	216
1180	179
1181	193
1182	191
1183	207
1184	184
1185	196
1186	177
1187	197
1188	194
1189	182
1190	173
1191	172
1192	175
1193	182
1194	184
1195	193
1196	202
1197	192
1198	187
1199	177
1200	192
1201	179
1202	185
1203	165
1204	157
1205	202
1206	192
1207	204
1208	178
1209	171
1210	172
1211	176
1212	175
1213	170
1214	178
1215	206
1216	172
1217	184
1218	179
