coverage	n
1734	110
1735	116
1736	117
1737	128
1738	113
1739	139
1740	114
1741	118
1742	111
1743	131
1744	129
1745	124
1746	101
1747	149
1748	117
1749	118
1750	96
1751	107
1752	112
1753	111
1754	122
1755	119
1756	121
1757	125
1758	128
1759	109
1760	130
1761	136
1762	115
1763	104
1764	108
1765	112
1766	104
1767	114
1768	93
1769	143
1770	108
1771	132
1772	109
1773	108
1774	96
1775	117
1776	107
1777	120
1778	107
1779	99
1780	121
1781	136
1782	118
1783	127
1784	117
1785	136
1786	149
1787	124
1788	105
1789	117
1790	117
1791	125
1792	113
1793	131
1794	123
1795	112
1796	128
1797	115
1798	116
1799	111
1800	131
1801	123
1802	120
1803	115
1804	135
1805	101
1806	123
1807	128
1808	129
1809	119
1810	99
1811	108
1812	118
1813	111
1814	124
1815	140
1816	113
1817	115
1818	136
1819	116
1820	121
1821	124
1822	129
1823	113
1824	114
1825	118
1826	113
1827	112
1828	138
1829	128
1830	122
1831	133
1832	119
1833	114
1834	106
1835	118
1836	112
1837	123
1838	117
1839	111
1840	102
1841	104
1842	124
1843	122
1844	136
1845	109
1846	120
1847	110
1848	111
1849	116
1850	134
1851	147
1852	103
1853	122
1854	103
1855	137
1856	118
1857	122
1858	118
1859	104
1860	105
1861	124
1862	109
1863	118
1864	133
1865	132
1866	128
1867	128
1868	118
1869	115
1870	121
1871	113
1872	124
1873	116
1874	129
1875	134
1876	132
1877	109
1878	154
1879	127
1880	121
1881	131
1882	124
1883	112
1884	135
1885	129
1886	135
1887	119
1888	114
1889	114
1890	130
1891	127
1892	130
1893	124
1894	113
1895	131
1896	105
1897	108
1898	138
1899	116
1900	125
1901	147
1902	120
1903	126
1904	126
1905	122
1906	122
1907	108
1908	123
1909	114
1910	129
1911	132
1912	102
1913	111
1914	125
1915	113
1916	129
1917	122
1918	130
1919	118
1920	117
1921	127
1922	134
1923	128
1924	128
1925	118
1926	120
1927	95
1928	125
1929	152
1930	119
1931	122
1932	107
1933	107
1934	112
1935	115
1936	110
1937	108
1938	120
1939	111
1940	115
1941	109
1942	128
1943	114
1944	118
1945	94
1946	109
1947	122
1948	124
1949	110
1950	134
1951	106
1952	122
1953	121
1954	124
1955	113
1956	128
1957	119
1958	112
1959	96
1960	103
1961	116
1962	119
1963	118
1964	130
1965	104
1966	102
1967	114
1968	114
1969	103
1970	114
1971	94
1972	101
1973	90
1974	94
1975	100
1976	108
1977	109
1978	104
1979	100
1980	102
1981	103
1982	108
1983	95
1984	99
1985	105
1986	103
1987	97
1988	116
1989	100
1990	99
1991	87
1992	98
1993	85
1994	102
1995	102
1996	97
1997	114
1998	105
1999	91
2000	99
2001	105
2002	93
2003	99
2004	86
2005	100
2006	105
2007	135
2008	108
2009	120
2010	102
2011	101
2012	113
2013	99
2014	107
2015	91
2016	93
2017	94
2018	76
2019	101
2020	110
2021	98
2022	96
2023	97
2024	113
2025	96
2026	90
2027	91
2028	99
2029	99
2030	82
2031	88
2032	95
2033	91
2034	101
2035	91
2036	96
2037	98
2038	102
2039	97
2040	92
2041	104
2042	108
2043	111
2044	115
2045	99
2046	92
2047	103
2048	86
2049	106
2050	95
2051	90
2052	97
2053	81
2054	96
2055	88
2056	80
2057	116
2058	89
2059	91
2060	105
2061	105
2062	89
2063	89
2064	100
2065	83
2066	82
2067	81
2068	82
2069	85
2070	94
2071	110
2072	84
2073	92
2074	92
2075	101
2076	92
2077	81
2078	99
2079	76
2080	96
2081	104
2082	92
2083	95
2084	100
2085	96
2086	81
2087	88
2088	88
2089	75
2090	79
2091	92
2092	89
2093	90
2094	77
2095	86
2096	79
2097	97
2098	80
2099	108
2100	89
2101	81
2102	86
2103	99
2104	67
2105	87
2106	98
2107	84
2108	79
2109	80
2110	81
2111	85
2112	92
2113	94
2114	88
2115	74
2116	87
2117	80
2118	80
2119	83
2120	83
2121	94
2122	87
2123	86
2124	77
2125	100
2126	84
2127	80
2128	104
2129	94
2130	88
2131	98
2132	80
2133	91
2134	81
2135	80
2136	75
2137	71
2138	80
2139	80
2140	84
2141	91
2142	79
2143	81
2144	86
2145	86
2146	85
2147	76
2148	79
2149	77
2150	92
2151	83
2152	82
2153	94
2154	76
2155	86
2156	85
2157	65
2158	86
2159	61
2160	60
2161	77
2162	88
2163	58
2164	67
2165	71
2166	75
2167	86
2168	69
2169	66
2170	70
2171	72
2172	56
2173	66
2174	58
2175	77
2176	68
2177	57
2178	70
2179	56
2180	91
2181	81
2182	56
2183	64
2184	58
2185	68
2186	67
2187	62
2188	66
2189	65
2190	84
2191	58
2192	72
2193	76
2194	76
2195	85
2196	90
2197	72
2198	87
2199	77
2200	76
2201	76
2202	77
2203	77
2204	63
2205	73
2206	90
2207	72
2208	86
2209	66
2210	82
2211	68
2212	64
2213	80
2214	73
2215	89
2216	75
2217	65
2218	76
2219	59
2220	70
2221	61
2222	60
2223	68
2224	80
2225	50
2226	71
2227	61
2228	65
2229	80
2230	80
2231	73
2232	68
2233	72
2234	80
2235	76
2236	91
2237	62
2238	78
2239	76
2240	71
2241	64
2242	70
2243	74
2244	87
2245	81
2246	63
2247	74
2248	68
2249	90
2250	77
2251	77
2252	82
2253	77
2254	72
2255	77
2256	76
2257	77
2258	63
2259	55
2260	70
2261	76
2262	86
2263	66
2264	63
2265	70
2266	58
2267	71
2268	68
2269	56
2270	75
2271	77
2272	79
2273	84
2274	69
2275	66
2276	57
2277	65
2278	70
2279	80
2280	74
2281	73
2282	74
2283	76
2284	64
2285	74
2286	70
2287	64
2288	57
2289	62
2290	57
2291	74
2292	58
2293	57
2294	62
2295	66
2296	52
2297	68
2298	67
2299	63
2300	48
2301	55
2302	69
2303	64
2304	45
2305	65
2306	57
2307	57
2308	55
2309	70
2310	53
2311	69
2312	58
2313	75
2314	68
2315	72
2316	64
2317	62
2318	73
2319	53
2320	56
2321	62
2322	59
2323	66
2324	73
2325	49
2326	61
2327	47
2328	61
2329	46
2330	75
2331	71
2332	61
2333	60
2334	59
2335	68
2336	50
2337	74
2338	45
2339	48
2340	61
2341	54
2342	62
2343	51
2344	44
2345	55
2346	61
2347	52
2348	52
2349	62
2350	43
2351	56
2352	52
2353	56
2354	48
2355	55
2356	76
2357	49
2358	59
2359	51
2360	60
2361	52
2362	53
2363	66
2364	67
2365	53
2366	45
2367	48
2368	54
2369	56
2370	43
2371	48
2372	53
2373	57
2374	51
2375	55
2376	53
2377	65
2378	60
2379	67
2380	66
2381	50
2382	67
2383	63
2384	64
2385	63
2386	56
2387	70
2388	70
2389	66
2390	56
2391	71
2392	52
2393	68
2394	63
2395	65
2396	68
2397	63
2398	65
2399	66
2400	51
2401	66
2402	63
2403	66
2404	55
2405	59
2406	69
2407	52
2408	52
2409	67
2410	63
2411	64
2412	56
2413	61
2414	54
2415	70
2416	64
2417	53
2418	60
2419	63
2420	68
2421	50
2422	62
2423	40
2424	58
2425	58
2426	55
2427	44
2428	66
2429	53
2430	42
2431	61
2432	34
2433	61
2434	55
2435	42
2436	63
2437	66
2438	49
2439	53
2440	38
2441	43
2442	49
2443	57
2444	50
2445	66
2446	63
2447	46
2448	65
2449	47
2450	55
2451	50
2452	60
2453	49
2454	55
2455	52
2456	55
2457	62
2458	48
2459	51
2460	68
2461	53
2462	38
2463	59
2464	46
2465	38
2466	56
2467	49
2468	41
2469	53
2470	43
2471	40
2472	41
2473	41
2474	48
2475	63
2476	50
2477	46
2478	46
2479	48
2480	44
2481	50
2482	47
2483	46
2484	47
2485	47
2486	37
2487	52
2488	44
2489	55
2490	47
2491	50
2492	36
2493	45
2494	55
2495	35
2496	53
2497	40
2498	35
2499	55
2500	46
2501	44
2502	49
2503	38
2504	57
2505	35
2506	43
2507	47
2508	42
2509	46
2510	42
2511	48
2512	35
2513	59
2514	53
2515	60
2516	49
2517	54
2518	48
2519	37
2520	42
2521	62
2522	40
2523	46
2524	43
2525	50
2526	57
2527	62
2528	38
2529	42
2530	44
2531	29
2532	53
2533	37
2534	50
2535	47
2536	51
2537	48
2538	52
2539	55
2540	63
2541	44
2542	41
2543	59
2544	54
2545	44
2546	44
2547	62
2548	45
2549	54
2550	59
2551	60
2552	50
2553	47
2554	55
2555	50
2556	29
2557	53
2558	53
2559	51
2560	41
2561	43
2562	45
2563	41
2564	54
2565	38
2566	41
2567	47
2568	52
2569	63
2570	50
2571	39
2572	42
2573	45
2574	51
2575	38
2576	52
2577	38
2578	39
2579	41
2580	44
2581	36
2582	30
2583	42
2584	52
2585	44
2586	42
2587	49
2588	57
2589	36
2590	44
2591	46
2592	48
2593	49
2594	37
2595	47
2596	33
2597	35
2598	35
2599	35
2600	36
2601	40
2602	45
2603	32
2604	48
2605	44
2606	36
2607	47
2608	38
2609	41
2610	37
2611	35
2612	48
2613	47
2614	34
2615	40
2616	44
2617	31
2618	42
2619	43
2620	35
