coverage	n
1	2
2	3
3	3
4	2
5	2
6	1
7	4
8	0
9	0
10	1
11	2
12	1
13	1
14	1
15	0
16	2
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	1
26	0
27	0
28	0
29	0
30	0
31	2
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	1
42	0
43	0
44	1
45	0
46	0
47	0
48	0
49	0
50	0
51	1
52	1
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	2
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	1
70	2
71	0
72	1
73	0
74	0
75	0
76	0
77	0
78	0
79	1
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	1
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	1
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	1
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	1
402	1
403	1
404	1
405	0
406	2
407	0
408	2
409	3
410	1
411	3
412	4
413	1
414	4
415	1
416	1
417	0
418	1
419	1
420	1
421	1
422	2
423	0
424	3
425	1
426	2
427	0
428	2
429	1
430	1
431	2
432	7
433	2
434	1
435	3
436	2
437	2
438	1
439	0
440	1
441	0
442	0
443	1
444	2
445	3
446	2
447	1
448	4
449	2
450	3
451	1
452	1
453	4
454	1
455	2
456	3
457	3
458	8
459	3
460	7
461	4
462	5
463	10
464	5
465	3
466	3
467	1
468	1
469	2
470	1
471	3
472	2
473	4
474	2
475	5
476	3
477	1
478	1
479	6
480	5
481	4
482	9
483	8
484	12
485	9
486	16
487	6
488	5
489	12
490	15
491	9
492	10
493	6
494	8
495	7
496	13
497	7
498	4
499	3
500	8
501	4
502	5
503	12
504	8
505	6
506	7
507	17
508	9
509	8
510	10
511	19
512	18
513	12
514	16
515	15
516	8
517	9
518	18
519	9
520	15
521	9
522	7
523	9
524	11
525	8
526	7
527	15
528	16
529	7
530	6
531	7
532	17
533	10
534	11
535	18
536	9
537	6
538	14
539	17
540	12
541	12
542	20
543	14
544	14
545	21
546	13
547	18
548	11
549	16
550	15
551	13
552	21
553	19
554	19
555	20
556	20
557	17
558	20
559	26
560	13
561	20
562	29
563	24
564	21
565	19
566	19
567	29
568	19
569	17
570	20
571	27
572	36
573	37
574	22
575	31
576	21
577	19
578	21
579	16
580	13
581	17
582	22
583	24
584	20
585	15
586	25
587	23
588	32
589	28
590	23
591	34
592	20
593	29
594	26
595	29
596	44
597	35
598	34
599	48
600	41
601	40
602	49
603	48
604	49
605	49
606	53
607	44
608	49
609	50
610	43
611	41
612	48
613	41
614	48
615	42
616	44
617	42
618	28
619	42
620	51
621	49
622	55
623	44
624	42
625	46
626	56
627	38
628	46
629	50
630	40
631	41
632	39
633	37
634	47
635	42
636	44
637	48
638	58
639	43
640	37
641	57
642	55
643	61
644	48
645	57
646	46
647	54
648	55
649	46
650	46
651	55
652	44
653	49
654	51
655	73
656	50
657	58
658	50
659	54
660	66
661	59
662	45
663	41
664	51
665	50
666	48
667	40
668	59
669	48
670	50
671	55
672	49
673	68
674	59
675	51
676	49
677	58
678	66
679	74
680	64
681	60
682	46
683	59
684	64
685	77
686	73
687	68
688	61
689	64
690	63
691	85
692	80
693	91
694	77
695	87
696	65
697	85
698	72
699	75
700	70
701	80
702	71
703	67
704	67
705	55
706	72
707	43
708	70
709	66
710	76
711	76
712	80
713	76
714	86
715	72
716	74
717	82
718	85
719	71
720	89
721	78
722	94
723	100
724	88
725	101
726	85
727	97
728	88
729	85
730	110
731	96
732	99
733	97
734	81
735	93
736	82
737	84
738	81
739	84
740	110
741	91
742	96
743	106
744	115
745	95
746	118
747	105
748	109
749	108
750	92
751	102
752	90
753	100
754	100
755	101
756	84
757	109
758	104
759	104
760	106
761	119
762	95
763	103
764	104
765	118
766	116
767	115
768	129
769	113
770	118
771	126
772	123
773	123
774	114
775	139
776	121
777	121
778	111
779	115
780	118
781	135
782	129
783	121
784	124
785	135
786	143
787	107
788	96
789	121
790	140
791	125
792	115
793	136
794	126
795	149
796	140
797	128
798	147
799	154
800	149
801	141
802	142
803	136
804	131
805	151
806	141
807	152
808	159
809	137
810	147
811	147
812	132
813	140
814	144
815	147
816	134
817	132
818	116
819	128
820	108
821	119
822	135
823	125
824	147
825	137
826	133
827	144
828	121
829	123
830	124
831	127
832	137
833	118
834	127
835	115
836	155
837	128
838	112
839	120
840	136
841	120
842	133
843	151
844	134
845	123
846	133
847	123
848	109
849	118
850	116
851	114
852	110
853	97
854	105
855	122
856	115
857	93
858	124
859	125
860	132
861	120
862	131
863	110
864	124
865	139
866	114
867	125
868	146
869	123
870	139
871	130
872	145
873	117
874	127
875	105
876	117
877	128
878	127
879	144
880	127
881	138
882	169
883	150
884	150
885	137
886	140
887	150
888	149
889	161
890	158
891	147
892	164
893	145
894	169
895	172
896	152
897	163
898	159
899	148
900	156
901	144
902	158
903	139
904	137
905	151
906	132
907	150
908	144
909	143
910	159
911	144
912	139
913	139
914	133
915	133
916	155
917	134
918	150
919	155
920	155
921	171
922	145
923	141
924	131
925	147
926	142
927	153
928	151
929	150
930	157
931	179
932	173
933	152
934	157
935	169
936	146
937	145
938	159
939	157
940	159
941	156
942	170
943	160
944	154
945	175
946	139
947	178
